Conc_Fe(%),Conc_SiO2(%),Conc_Al2O3(%),Conc_LOI(%),Conc45_micron(%),Blane_No_cm2_g,CRM_dust_kg_t,ESP_DUST_kg_t,SMS_sludge_DRY_kg_t,Green_Pellet_Moisture(%),Green_Pellet_GCS_kg,Green_Pellet_Drop_No.,FEED_RATE_tph,MACHINE_SPEED_m_min,FIRING_TEMP_C,BURNTHRU_TEMP_C,DR_Main_temp_C,UDD_FAN_PRESSURE_mmWC,UDD_FAN_TEMP_C,WBR_PRESURE_mmWC,WBR_FAN_TEMP_C,CA_PRESSURE_mmWC,2nd_cooling_zone_pressure_mmWC,2nd_cooling_zone_temp_C,Pellet_CCS_Kg_p,TI,AI
61.9,4.38,2.99,3.48,67.52,1730,3.14,7.62,2.25,10.39,1.04,12,582,3.06,1285,339,865,313,230,-349,170,454,-85.62,115,238,90.87,7
61.76,4.12,3.25,3.67,66.05,1775,3.28,0.23,0.78,10.42,1.03,12,578,3.06,1282,331,841,305,222,-363,168,449,-84.51,107,241,91,6.87
61.26,3.91,3.62,4.22,67.04,1830,4.79,2.14,2.22,10.51,1.06,12,589,3.22,1288,323,862,328,221,-381,164,471,-86.79,110,229.17,90.02,7.87
61.23,3.66,3.63,4.56,66.3,1810,6.49,1.92,0,10.04,1.03,14,511,2.81,1288,319,770,278,188,-322,160,356,-84.43,109,236,91.87,6.33
61.38,3.45,3.51,4.39,67.93,1776.67,4.28,0.3,2.36,10.44,1.04,14,555,3.03,1282,342,823,300,223,-366,166,393,-87.96,113,233.33,89.27,8.44
61.05,3.77,3.45,4.44,69.33,1901.67,4.91,2.7,1.57,10.5,1.04,14,545,3,1281,329,814,285,214,-352,161,386,-81.45,104,234,91.62,6.91
61.16,3.86,3.26,4.31,69.4,1895,4.62,5.03,0.83,10.5,1.03,14,546,2.94,1281,341,803,284,203,-349,167,410,-79.49,102,235,91.29,7.4
62.34,3.47,2.53,3.59,65.9,1701.67,3.29,0.83,2.4,10.1,1.04,14,546,2.81,1283,331,814,287,208,-372,169,466,-77.8,107,231,91.31,7.29
62.38,3.8,2.44,3.46,68.33,1680,3.41,3.37,2.58,10.18,1.04,11,500,2.57,1267,356,821,251,213,-319,180,382,-78.6,112,241,91.09,7.56
61.97,4.29,2.62,3.49,67.25,1743.33,4.47,0.94,1.56,10.39,1.03,11,541,2.77,1277,351,825,270,217,-346,175,427,-77.55,109,245,91.73,6.78
62.24,4.07,2.87,3.29,66.58,1685,4.21,3.35,2.4,9.91,1.03,10,543,2.74,1278,358,830,269,227,-348,176,423,-79.66,119,254,91.8,6.73
61.82,4.71,3.05,3.18,68.01,1793.33,2.95,6.27,2.32,10.09,1.04,12,557,2.81,1282,357,833,280,221,-347,180,436,-79.56,114,257.67,92.11,6.44
62,4.03,3.33,3.33,68.26,1938.33,4.73,0.56,0.8,10.28,1.04,13,555,2.8,1283,355,817,278,209,-347,175,430,-79.83,103,252.17,92.38,6.22
61.56,3.58,3.58,4.05,68.58,2110,5.66,3.34,1.52,10.28,1.03,14,554,2.81,1285,342,803,275,204,-374,170,423,-79.77,103,248.67,91.8,6.67
